2,31,32,2,1400,173,173,225,225,15170,15404,14651,14893
3,32,31,2,1400,174,174,226,226,15405,15637,14894,15136
2,32,33,2,1200,175,175,227,227,15638,15872,15137,15379
3,33,32,2,1200,176,176,228,228,15873,16105,15380,15622
2,33,34,3,1700,177,177,229,229,16106,16340,15623,15865
3,34,33,3,1700,178,178,230,230,16341,16573,15866,16108
2,34,35,3,1600,179,183,231,231,16574,16808,16109,16351
3,35,34,3,1600,184,184,232,236,16809,17041,16352,16594
2,35,36,2,1300,185,189,237,241,17042,17276,16595,16837
7,35,62,2,1000,190,190,242,244,17277,17429,16838,16978
8,35,62,2,1000,191,191,245,247,17430,17557,16979,17112
6,35,63,3,1600,192,194,248,250,17558,17708,17113,17253
9,35,63,3,1600,195,197,251,253,17709,17836,17254,17387
3,36,35,2,1300,198,202,254,258,17837,18069,17388,17630
2,36,37,3,1600,203,205,259,263,18070,18304,17631,17873
25,36,219,3,2000,206,210,264,266,18305,18402,17874,17944
27,36,219,3,2000,211,215,267,269,18403,18499,17945,18014
24,36,238,3,1400,216,218,270,272,18500,18602,18015,18089
26,36,238,3,1400,219,221,273,275,18603,18704,18090,18163
15,37,9,2,1100,222,224,276,278,18705,18903,18164,18364
3,37,36,3,1600,225,229,279,281,18904,19136,18365,18607
2,37,38,2,1500,230,230,282,284,19137,19371,18608,18850
14,37,143,3,1500,231,231,285,287,19372,19572,18851,19051
2,38,12,3,1400,232,236,288,288,19573,19807,19052,19294
3,38,37,2,1500,237,239,289,289,19808,20040,19295,19537
3,39,12,2,1100,240,244,290,294,20041,20273,19538,19780
2,39,40,3,1800,245,245,295,299,20274,20508,19781,20023
21,39,215,2,1000,246,248,300,302,20509,20600,20024,20115
23,39,215,2,1000,249,251,303,305,20601,20690,20116,20205
20,39,216,3,1500,252,252,306,308,20691,20782,20206,20297
22,39,216,3,1500,253,253,309,311,20783,20874,20298,20389
3,40,39,3,1800,254,258,312,312,20875,21107,20390,20632
2,40,41,2,1400,259,259,313,313,21108,21342,20633,20875
3,41,40,2,1400,260,260,314,314,21343,21575,20876,21118
2,41,42,2,1100,261,267,315,315,21576,21810,21119,21361
3,42,41,2,1100,268,268,316,322,21811,22043,21362,21604
2,42,43,3,2000,269,269,323,329,22044,22278,21605,21847
9,42,91,2,1000,270,270,330,336,22279,22406,21848,21981
8,42,92,3,1400,271,271,337,343,22407,22534,21982,22115
13,42,122,2,1000,272,272,344,350,22535,22748,22116,22320
12,42,123,3,1000,273,273,351,357,22749,22962,22321,22525
19,42,185,4,2400,-1,-1,358,364,22963,23129,22526,22678
18,42,186,2,1100,274,274,365,371,23130,23300,22679,22839
3,43,42,3,2000,275,281,372,372,23301,23533,22840,23082
2,43,44,2,1300,282,282,373,373,23534,23768,23083,23325
3,44,43,2,1300,283,283,374,374,23769,24001,23326,23568
2,44,45,2,1200,284,288,375,375,24002,24236,23569,23811
3,45,44,2,1200,289,289,376,380,24237,24469,23812,24054
2,45,46,4,2600,290,291,381,385,24470,24702,24055,24295
40,45,56,8,32000,292,292,386,390,24703,24758,24296,24351
15,45,133,3,1500,-1,-1,391,395,24759,24957,24352,24552
14,45,134,2,1200,293,293,396,400,24958,25158,24553,24753
32,45,278,3,4100,294,294,401,405,25159,25254,24754,24849
3,46,45,4,2600,295,299,406,407,25255,25485,24850,25090
2,46,47,3,1600,300,300,408,409,25486,25718,25091,25331
44,46,296,6,360,301,301,410,411,-1,-1,-1,-1
3,47,46,3,1600,302,303,412,412,25719,25949,25332,25572
2,47,48,3,1700,304,304,413,413,25950,26182,25573,25813
3,48,47,3,1700,305,305,414,414,26183,26413,25814,26054
4,48,49,4,3600,306,306,415,415,26414,26543,26055,26186
5,49,48,4,3600,307,307,416,416,26544,26670,26187,26315
4,49,50,4,1400,308,308,417,417,26671,26800,26316,26447
5,50,49,4,1400,309,309,418,418,26801,26927,26448,26576
4,50,51,3,1900,310,310,419,419,26928,27057,26577,26708
5,51,50,3,1900,311,311,420,420,27058,27184,26709,26837
4,51,52,4,3800,312,312,421,421,27185,27314,26838,26969
